Id,CompetencyId,Stage,ShortDescription,Description,StartMMR,EndMMR
37,8,S3,Unit Conversions for Rates,"Convert min↔hr, m↔km to express speeds (km/h, m/s);",2001,3000
38,8,S4,Converting Equations,“rate triangle” strategy,3001,4000
39,8,S5,Word Problems with Tables,One–two step SDT problems; organize with d–v–t tables; compare two trips,4001,5000
40,8,S6,Average & Comparative Speed,Average speed over multi-leg trips; compare speeds; reasonableness checks,5001,6000
41,8,S7,Relative Motion (Intro),Meeting/overtake problems at constant speeds (same/opposite directions),6001,7000
42,9,S1,Shape Recognition & Attributes,Name 2-D/3-D shapes; faces/edges/vertices; positional language,0,1000
43,9,S2,Compose/Decompose & Nets,"Put shapes together and take them apart. Lay a 3-D shape flat like a cut-out (a net), and imagine folding the cut-out back into the 3-D shape.",1001,2000
44,9,S3,Classify by Properties,Hierarchies of triangles/quadrilaterals; parallel/perpendicular; visual congruence,2001,3000
45,9,S4,Symmetry & Transformations,Lines of symmetry; translations/rotations/reflections; congruent images,3001,4000
46,9,S5,Coordinate Location,Plot/read points; draw polygons on grids; step-count paths only,4001,5000
47,9,S6,Spatial Visualization,Cross-sections and rotations of solids; mental imagery of moves,5001,6000
48,10,S1,"Understanding units, Compare & Estimate",Choose attribute (length/mass/capacity/time); non-standard units; estimation,0,1000
49,10,S2,Standard Tools & Scales,Rulers/balances/thermometers/; read to nearest mark;,1001,2000
50,10,S3,"Perimeter, Area & Elapsed Time",Perimeter; area of rectangles/composites; elapsed time within a day,2001,3000
51,10,S4,Angles & Scale/Maps,Measure angles with protractor; interpret map scales; simple within-system conversions,3001,4000
52,10,S5,Volume & Capacity,Unit cubes; V = l×w×h for prisms; relate cm³↔mL↔L; simple composites,4001,5000
53,10,S6,Precision & Chained Conversions,Within-system conversions; track units; choose/justify precision,5001,6000
54,11,S1,Collect & Sort Data,"Tally/categorize; simple tables; picture/bar charts,",0,1000
55,11,S2,Read & Make Graphs (Scaled),Tables ↔ scaled bar graphs; one/two-step questions; choose a sensible scale,1001,2000
56,11,S3,Line Plots & Trends,Time-series/line plots; min/max/range; compare datasets,2001,3000
57,11,S4,Centers & Variability,Mean/median/mode; when each is appropriate; outliers,3001,4000
58,11,S5,Probability Basics,Experiments; sample space; likelihood as fractions; fairness,4001,5000
59,11,S6,Reason from Data,Choose best display; support claims with evidence; spot misleading graphs,5001,6000
60,12,S1,Fundamentals,"Understand dice rolls, coin tosses",0,1000
61,12,S2,Experiments,Calculating chances of rolling multiple die or tossing multiple coins,1001,2000
62,12,S3,Probability Basics,Sample space; likelihood as fractions; fairness,2001,3000
63,13,S1,Surface recognition of numbers or keywords.,,0,1000
64,13,S2,"Organizes information using visuals (diagrams, tables).",,1001,2000
65,13,S3,"Identifies relationships and structures (e.g., part-whole, comparison).",,2001,3000
66,13,S4,"Uses abstract representations (algebraic, symbolic).",,3001,4000
67,14,S1,Random trial-and-error attempts.,,0,1000
68,14,S2,Applies known strategies to familiar problems.,,1001,2000
69,14,S3,Selects strategies based on context and efficiency.,,2001,3000
70,14,S4,Designs new strategies for unfamiliar problems.,,3001,4000
71,15,S1,Gives intuitive answers without explanation.,,0,1000
72,15,S2,Justifies steps using rules or procedures.,,1001,2000
73,15,S3,Explains reasoning using mathematical concepts.,,2001,3000
74,15,S4,Constructs formal arguments or proofs.,,3001,4000
75,16,S1,Sticks to one method regardless of outcome.,,0,1000
76,16,S2,Tries alternative methods when prompted.,,1001,2000
77,16,S3,Transfers known strategies to new contexts.,,2001,3000
78,16,S4,Invents novel approaches or connects across domains.,,3001,4000
79,17,S1,Unaware of errors or strategy effectiveness.,,0,1000
80,17,S2,Reflects after feedback.,,1001,2000
81,17,S3,Monitors and adjusts thinking during problem solving.,,2001,3000
82,17,S4,"Independently plans, monitors, and regulates learning.",,3001,4000
